timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/08/12 22:46:28.055, 25 %, 1538 MiB, 20.91 W
2026/08/12 22:46:29.058, 26 %, 1538 MiB, 20.53 W
2026/08/12 22:46:30.062, 28 %, 1537 MiB, 20.58 W
2026/08/12 22:46:31.064, 18 %, 1547 MiB, 20.57 W
2026/08/12 22:46:32.068, 36 %, 1547 MiB, 20.80 W
2026/08/12 22:46:33.070, 32 %, 1547 MiB, 20.90 W
2026/08/12 22:46:34.071, 32 %, 1547 MiB, 20.88 W
2026/08/12 22:46:35.077, 34 %, 1550 MiB, 21.02 W
2026/08/12 22:46:36.083, 34 %, 1545 MiB, 21.09 W
2026/08/12 22:46:37.086, 32 %, 1545 MiB, 21.28 W
2026/08/12 22:46:38.088, 33 %, 1545 MiB, 21.16 W
2026/08/12 22:46:39.088, 34 %, 1545 MiB, 21.16 W
2026/08/12 22:46:40.093, 36 %, 1545 MiB, 20.83 W
2026/08/12 22:46:41.096, 33 %, 1545 MiB, 21.03 W
2026/08/12 22:46:42.098, 28 %, 1545 MiB, 20.89 W
2026/08/12 22:46:43.100, 35 %, 1545 MiB, 21.09 W
2026/08/12 22:46:44.101, 34 %, 1545 MiB, 21.18 W
2026/08/12 22:46:45.103, 32 %, 1545 MiB, 21.15 W
2026/08/12 22:46:46.109, 34 %, 1545 MiB, 21.01 W
2026/08/12 22:46:47.121, 34 %, 1545 MiB, 20.98 W
2026/08/12 22:46:48.123, 32 %, 1545 MiB, 21.14 W
2026/08/12 22:46:49.144, 33 %, 1545 MiB, 21.09 W
2026/08/12 22:46:50.154, 37 %, 1557 MiB, 21.07 W
2026/08/12 22:46:51.178, 38 %, 1557 MiB, 21.16 W
2026/08/12 22:46:52.212, 37 %, 1556 MiB, 21.28 W
2026/08/12 22:46:53.223, 36 %, 1556 MiB, 21.34 W
2026/08/12 22:46:54.229, 33 %, 1556 MiB, 21.29 W
2026/08/12 22:46:55.230, 34 %, 1542 MiB, 21.06 W
2026/08/12 22:46:56.231, 43 %, 1546 MiB, 21.45 W
2026/08/12 22:46:57.272, 34 %, 1546 MiB, 21.52 W
2026/08/12 22:46:58.293, 35 %, 1546 MiB, 21.39 W
2026/08/12 22:46:59.325, 33 %, 1546 MiB, 21.44 W
2026/08/12 22:47:00.346, 36 %, 1546 MiB, 21.41 W
2026/08/12 22:47:01.383, 37 %, 1542 MiB, 21.38 W
2026/08/12 22:47:02.419, 37 %, 1542 MiB, 21.53 W
2026/08/12 22:47:03.481, 40 %, 1557 MiB, 21.60 W
2026/08/12 22:47:04.491, 17 %, 1557 MiB, 21.24 W
2026/08/12 22:47:05.497, 22 %, 1557 MiB, 20.65 W
2026/08/12 22:47:06.505, 36 %, 1557 MiB, 20.74 W
2026/08/12 22:47:07.510, 33 %, 1557 MiB, 21.07 W
2026/08/12 22:47:08.514, 32 %, 1545 MiB, 21.10 W
2026/08/12 22:47:09.517, 30 %, 1545 MiB, 21.03 W
2026/08/12 22:47:10.521, 38 %, 1541 MiB, 21.17 W
2026/08/12 22:47:11.521, 40 %, 1544 MiB, 21.49 W
2026/08/12 22:47:12.522, 36 %, 1544 MiB, 21.81 W
2026/08/12 22:47:13.524, 27 %, 1544 MiB, 21.73 W
2026/08/12 22:47:14.536, 3 %, 1544 MiB, 31.68 W
2026/08/12 22:47:15.564, 3 %, 1544 MiB, 42.69 W
2026/08/12 22:47:16.575, 2 %, 1544 MiB, 42.67 W
2026/08/12 22:47:17.580, 9 %, 1544 MiB, 39.44 W
2026/08/12 22:47:18.587, 9 %, 1544 MiB, 22.64 W
2026/08/12 22:47:19.595, 13 %, 1544 MiB, 22.55 W
2026/08/12 22:47:20.596, 30 %, 1544 MiB, 22.25 W
2026/08/12 22:47:21.603, 24 %, 1544 MiB, 21.96 W
2026/08/12 22:47:22.614, 25 %, 1544 MiB, 21.90 W
2026/08/12 22:47:23.615, 28 %, 1544 MiB, 21.94 W
2026/08/12 22:47:24.617, 2 %, 1544 MiB, 24.36 W
2026/08/12 22:47:25.618, 3 %, 1544 MiB, 42.93 W
2026/08/12 22:47:26.620, 3 %, 1545 MiB, 43.05 W
2026/08/12 22:47:27.621, 3 %, 1545 MiB, 43.12 W
2026/08/12 22:47:28.622, 6 %, 1545 MiB, 39.89 W
2026/08/12 22:47:29.632, 12 %, 1545 MiB, 22.25 W
2026/08/12 22:47:30.636, 16 %, 1545 MiB, 21.23 W
2026/08/12 22:47:31.643, 32 %, 1541 MiB, 21.24 W
2026/08/12 22:47:32.648, 32 %, 1541 MiB, 21.11 W
2026/08/12 22:47:33.653, 27 %, 1541 MiB, 21.09 W
2026/08/12 22:47:34.659, 34 %, 1541 MiB, 21.13 W
2026/08/12 22:47:35.662, 30 %, 1541 MiB, 21.15 W
2026/08/12 22:47:36.663, 17 %, 1541 MiB, 20.92 W
2026/08/12 22:47:37.670, 30 %, 1541 MiB, 21.03 W
2026/08/12 22:47:38.678, 24 %, 1541 MiB, 20.88 W
2026/08/12 22:47:39.678, 36 %, 1541 MiB, 20.82 W
2026/08/12 22:47:40.683, 30 %, 1541 MiB, 20.86 W
2026/08/12 22:47:41.684, 31 %, 1541 MiB, 20.79 W
2026/08/12 22:47:42.686, 26 %, 1541 MiB, 20.98 W
2026/08/12 22:47:43.692, 32 %, 1545 MiB, 20.98 W
2026/08/12 22:47:44.695, 30 %, 1545 MiB, 21.01 W
2026/08/12 22:47:45.696, 33 %, 1545 MiB, 20.95 W
2026/08/12 22:47:46.699, 30 %, 1545 MiB, 20.86 W
2026/08/12 22:47:47.704, 30 %, 1545 MiB, 21.06 W
2026/08/12 22:47:48.708, 28 %, 1540 MiB, 21.07 W
2026/08/12 22:47:49.711, 27 %, 1540 MiB, 20.75 W
2026/08/12 22:47:50.716, 29 %, 1540 MiB, 20.89 W
2026/08/12 22:47:51.719, 39 %, 1540 MiB, 21.10 W
2026/08/12 22:47:52.720, 33 %, 1540 MiB, 20.92 W
2026/08/12 22:47:53.723, 31 %, 1540 MiB, 20.84 W
2026/08/12 22:47:54.729, 33 %, 1540 MiB, 20.84 W
2026/08/12 22:47:55.732, 34 %, 1540 MiB, 21.03 W
2026/08/12 22:47:56.738, 33 %, 1540 MiB, 21.06 W
2026/08/12 22:47:57.742, 31 %, 1540 MiB, 20.97 W
2026/08/12 22:47:58.746, 31 %, 1540 MiB, 20.83 W
2026/08/12 22:47:59.748, 31 %, 1540 MiB, 20.85 W
2026/08/12 22:48:00.750, 33 %, 1540 MiB, 21.07 W
2026/08/12 22:48:01.755, 38 %, 1540 MiB, 21.24 W
2026/08/12 22:48:02.758, 31 %, 1540 MiB, 21.35 W
2026/08/12 22:48:03.763, 33 %, 1545 MiB, 21.08 W
2026/08/12 22:48:04.766, 36 %, 1547 MiB, 21.22 W
2026/08/12 22:48:05.767, 26 %, 1547 MiB, 21.14 W
2026/08/12 22:48:06.768, 34 %, 1547 MiB, 20.96 W
2026/08/12 22:48:07.769, 29 %, 1547 MiB, 21.23 W
2026/08/12 22:48:08.770, 26 %, 1540 MiB, 21.02 W
2026/08/12 22:48:09.780, 31 %, 1537 MiB, 20.76 W
2026/08/12 22:48:10.785, 34 %, 1537 MiB, 21.19 W
2026/08/12 22:48:11.786, 29 %, 1537 MiB, 21.17 W
2026/08/12 22:48:12.787, 27 %, 1537 MiB, 20.91 W
2026/08/12 22:48:13.788, 29 %, 1537 MiB, 20.86 W
2026/08/12 22:48:14.792, 33 %, 1537 MiB, 20.88 W
2026/08/12 22:48:15.793, 32 %, 1537 MiB, 20.81 W
2026/08/12 22:48:16.795, 23 %, 1537 MiB, 20.79 W
2026/08/12 22:48:17.798, 33 %, 1540 MiB, 21.05 W
2026/08/12 22:48:18.798, 32 %, 1540 MiB, 21.34 W
2026/08/12 22:48:19.799, 36 %, 1540 MiB, 21.44 W
2026/08/12 22:48:20.802, 36 %, 1540 MiB, 21.57 W
2026/08/12 22:48:21.804, 45 %, 1540 MiB, 21.30 W
2026/08/12 22:48:22.805, 27 %, 1540 MiB, 21.74 W
2026/08/12 22:48:23.806, 36 %, 1540 MiB, 21.55 W
2026/08/12 22:48:24.807, 34 %, 1540 MiB, 21.63 W
2026/08/12 22:48:25.808, 38 %, 1540 MiB, 21.42 W
2026/08/12 22:48:26.813, 38 %, 1540 MiB, 21.29 W
2026/08/12 22:48:27.814, 33 %, 1540 MiB, 21.56 W
2026/08/12 22:48:28.815, 44 %, 1540 MiB, 21.79 W
2026/08/12 22:48:29.817, 29 %, 1540 MiB, 21.77 W
2026/08/12 22:48:30.821, 34 %, 1540 MiB, 21.75 W
2026/08/12 22:48:31.822, 38 %, 1540 MiB, 21.42 W
2026/08/12 22:48:32.823, 38 %, 1540 MiB, 21.22 W
2026/08/12 22:48:33.824, 38 %, 1541 MiB, 21.17 W
2026/08/12 22:48:34.825, 39 %, 1541 MiB, 21.28 W
2026/08/12 22:48:35.828, 3 %, 1541 MiB, 23.12 W
2026/08/12 22:48:36.829, 2 %, 1541 MiB, 42.21 W
2026/08/12 22:48:37.830, 2 %, 1541 MiB, 42.37 W
2026/08/12 22:48:38.833, 2 %, 1541 MiB, 42.40 W
2026/08/12 22:48:39.836, 7 %, 1540 MiB, 31.02 W
2026/08/12 22:48:40.841, 15 %, 1537 MiB, 22.31 W
2026/08/12 22:48:41.850, 19 %, 1537 MiB, 22.18 W
2026/08/12 22:48:42.854, 29 %, 1537 MiB, 21.69 W
2026/08/12 22:48:43.855, 36 %, 1537 MiB, 21.55 W
2026/08/12 22:48:44.856, 35 %, 1537 MiB, 21.67 W
2026/08/12 22:48:45.857, 26 %, 1537 MiB, 21.39 W
2026/08/12 22:48:46.859, 25 %, 1537 MiB, 21.25 W
2026/08/12 22:48:47.861, 32 %, 1537 MiB, 21.27 W
2026/08/12 22:48:48.864, 32 %, 1537 MiB, 21.28 W
2026/08/12 22:48:49.866, 29 %, 1537 MiB, 21.23 W
2026/08/12 22:48:50.867, 30 %, 1537 MiB, 21.27 W
2026/08/12 22:48:51.874, 28 %, 1537 MiB, 21.19 W
2026/08/12 22:48:52.876, 28 %, 1537 MiB, 21.12 W
2026/08/12 22:48:53.877, 30 %, 1537 MiB, 21.32 W
2026/08/12 22:48:54.881, 28 %, 1537 MiB, 21.40 W
2026/08/12 22:48:55.884, 32 %, 1537 MiB, 21.26 W
2026/08/12 22:48:56.885, 26 %, 1537 MiB, 21.43 W
2026/08/12 22:48:57.886, 29 %, 1537 MiB, 21.47 W
2026/08/12 22:48:58.887, 30 %, 1537 MiB, 21.54 W
2026/08/12 22:48:59.888, 30 %, 1537 MiB, 21.46 W
2026/08/12 22:49:00.893, 29 %, 1537 MiB, 21.53 W
2026/08/12 22:49:01.895, 25 %, 1537 MiB, 21.57 W
2026/08/12 22:49:02.896, 28 %, 1537 MiB, 21.35 W
2026/08/12 22:49:03.900, 20 %, 1537 MiB, 21.26 W
2026/08/12 22:49:04.902, 33 %, 1537 MiB, 21.38 W
2026/08/12 22:49:05.907, 29 %, 1537 MiB, 21.49 W
2026/08/12 22:49:06.909, 30 %, 1537 MiB, 21.39 W
2026/08/12 22:49:07.915, 29 %, 1537 MiB, 21.53 W
2026/08/12 22:49:08.918, 24 %, 1537 MiB, 21.25 W
2026/08/12 22:49:09.919, 29 %, 1537 MiB, 21.43 W
2026/08/12 22:49:10.920, 29 %, 1537 MiB, 21.49 W
2026/08/12 22:49:11.920, 26 %, 1537 MiB, 21.42 W
2026/08/12 22:49:12.921, 30 %, 1537 MiB, 21.30 W
2026/08/12 22:49:13.924, 25 %, 1537 MiB, 21.30 W
2026/08/12 22:49:14.926, 31 %, 1537 MiB, 21.32 W
2026/08/12 22:49:15.929, 30 %, 1537 MiB, 21.49 W
2026/08/12 22:49:16.939, 36 %, 1537 MiB, 21.58 W
2026/08/12 22:49:17.940, 34 %, 1537 MiB, 21.53 W
