timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/08/12 22:35:27.654, 33 %, 1497 MiB, 21.99 W
2026/08/12 22:35:28.655, 29 %, 1497 MiB, 21.99 W
2026/08/12 22:35:29.657, 28 %, 1497 MiB, 21.92 W
2026/08/12 22:35:30.658, 30 %, 1497 MiB, 21.84 W
2026/08/12 22:35:31.658, 29 %, 1497 MiB, 21.84 W
2026/08/12 22:35:32.659, 29 %, 1497 MiB, 21.97 W
2026/08/12 22:35:33.665, 30 %, 1497 MiB, 22.07 W
2026/08/12 22:35:34.667, 31 %, 1497 MiB, 21.99 W
2026/08/12 22:35:35.738, 15 %, 1497 MiB, 21.93 W
2026/08/12 22:35:36.826, 13 %, 1497 MiB, 21.61 W
2026/08/12 22:35:37.915, 25 %, 1505 MiB, 21.80 W
2026/08/12 22:35:39.017, 22 %, 1505 MiB, 21.89 W
2026/08/12 22:35:40.102, 26 %, 1505 MiB, 21.90 W
2026/08/12 22:35:41.175, 23 %, 1505 MiB, 22.04 W
2026/08/12 22:35:42.281, 24 %, 1504 MiB, 21.82 W
2026/08/12 22:35:43.376, 18 %, 1514 MiB, 21.63 W
2026/08/12 22:35:44.490, 23 %, 1514 MiB, 21.72 W
2026/08/12 22:35:45.575, 30 %, 1510 MiB, 21.77 W
2026/08/12 22:35:46.654, 23 %, 1509 MiB, 21.66 W
2026/08/12 22:35:47.735, 14 %, 1509 MiB, 21.66 W
2026/08/12 22:35:48.809, 16 %, 1498 MiB, 21.56 W
2026/08/12 22:35:49.857, 27 %, 1498 MiB, 21.75 W
2026/08/12 22:35:50.866, 21 %, 1498 MiB, 21.79 W
2026/08/12 22:35:51.883, 26 %, 1498 MiB, 21.77 W
2026/08/12 22:35:52.890, 22 %, 1498 MiB, 21.88 W
2026/08/12 22:35:53.894, 34 %, 1501 MiB, 21.90 W
2026/08/12 22:35:54.895, 31 %, 1501 MiB, 22.31 W
2026/08/12 22:35:55.896, 33 %, 1501 MiB, 22.41 W
2026/08/12 22:35:56.899, 40 %, 1501 MiB, 22.35 W
2026/08/12 22:35:57.902, 38 %, 1501 MiB, 22.38 W
2026/08/12 22:35:58.903, 38 %, 1498 MiB, 22.40 W
2026/08/12 22:35:59.905, 39 %, 1498 MiB, 22.39 W
2026/08/12 22:36:00.999, 36 %, 1499 MiB, 22.60 W
2026/08/12 22:36:02.110, 16 %, 1499 MiB, 22.00 W
2026/08/12 22:36:03.216, 27 %, 1499 MiB, 21.91 W
2026/08/12 22:36:04.319, 20 %, 1499 MiB, 21.71 W
2026/08/12 22:36:05.324, 24 %, 1499 MiB, 21.70 W
2026/08/12 22:36:06.328, 27 %, 1499 MiB, 21.80 W
2026/08/12 22:36:07.328, 21 %, 1499 MiB, 21.77 W
2026/08/12 22:36:08.336, 22 %, 1499 MiB, 21.64 W
2026/08/12 22:36:09.338, 23 %, 1499 MiB, 21.60 W
2026/08/12 22:36:10.343, 27 %, 1499 MiB, 21.59 W
2026/08/12 22:36:11.344, 28 %, 1499 MiB, 21.90 W
2026/08/12 22:36:12.348, 23 %, 1499 MiB, 21.94 W
2026/08/12 22:36:13.350, 25 %, 1499 MiB, 21.86 W
2026/08/12 22:36:14.350, 24 %, 1499 MiB, 21.87 W
2026/08/12 22:36:15.359, 28 %, 1501 MiB, 21.79 W
2026/08/12 22:36:16.362, 23 %, 1501 MiB, 21.87 W
2026/08/12 22:36:17.363, 24 %, 1501 MiB, 22.05 W
2026/08/12 22:36:18.364, 25 %, 1500 MiB, 22.02 W
2026/08/12 22:36:19.366, 32 %, 1500 MiB, 21.86 W
2026/08/12 22:36:20.369, 38 %, 1503 MiB, 22.59 W
2026/08/12 22:36:21.371, 41 %, 1503 MiB, 22.69 W
2026/08/12 22:36:22.375, 43 %, 1503 MiB, 22.62 W
2026/08/12 22:36:23.376, 18 %, 1503 MiB, 22.76 W
2026/08/12 22:36:24.379, 15 %, 1505 MiB, 22.90 W
2026/08/12 22:36:25.380, 42 %, 1505 MiB, 22.48 W
2026/08/12 22:36:26.381, 40 %, 1505 MiB, 22.25 W
2026/08/12 22:36:27.382, 41 %, 1505 MiB, 22.44 W
2026/08/12 22:36:28.384, 40 %, 1502 MiB, 22.49 W
2026/08/12 22:36:29.385, 41 %, 1497 MiB, 22.52 W
2026/08/12 22:36:30.386, 39 %, 1497 MiB, 22.42 W
2026/08/12 22:36:31.387, 40 %, 1497 MiB, 22.29 W
2026/08/12 22:36:32.388, 40 %, 1497 MiB, 22.40 W
2026/08/12 22:36:33.390, 39 %, 1497 MiB, 22.46 W
2026/08/12 22:36:34.390, 38 %, 1497 MiB, 22.45 W
2026/08/12 22:36:35.392, 20 %, 1499 MiB, 22.30 W
2026/08/12 22:36:36.392, 1 %, 1499 MiB, 24.23 W
2026/08/12 22:36:37.394, 1 %, 1628 MiB, 42.99 W
2026/08/12 22:36:38.395, 15 %, 1644 MiB, 44.45 W
2026/08/12 22:36:39.397, 14 %, 1643 MiB, 46.06 W
2026/08/12 22:36:40.398, 7 %, 1642 MiB, 45.74 W
2026/08/12 22:36:41.399, 7 %, 1642 MiB, 44.18 W
2026/08/12 22:36:42.401, 12 %, 1641 MiB, 45.06 W
2026/08/12 22:36:43.402, 13 %, 1641 MiB, 45.51 W
2026/08/12 22:36:44.405, 27 %, 1641 MiB, 43.10 W
2026/08/12 22:36:45.406, 23 %, 1641 MiB, 24.30 W
2026/08/12 22:36:46.407, 28 %, 1641 MiB, 24.19 W
2026/08/12 22:36:47.410, 35 %, 1641 MiB, 24.49 W
2026/08/12 22:36:48.410, 31 %, 1641 MiB, 24.45 W
2026/08/12 22:36:49.415, 29 %, 1645 MiB, 24.08 W
2026/08/12 22:36:50.415, 27 %, 1648 MiB, 23.86 W
2026/08/12 22:36:51.418, 26 %, 1655 MiB, 23.70 W
2026/08/12 22:36:52.424, 28 %, 1656 MiB, 23.63 W
2026/08/12 22:36:53.424, 6 %, 1658 MiB, 31.52 W
2026/08/12 22:36:54.426, 6 %, 1660 MiB, 43.49 W
2026/08/12 22:36:55.426, 7 %, 1659 MiB, 43.45 W
2026/08/12 22:36:56.431, 6 %, 1652 MiB, 40.95 W
2026/08/12 22:36:57.436, 41 %, 1655 MiB, 23.74 W
2026/08/12 22:36:58.439, 18 %, 1664 MiB, 24.15 W
2026/08/12 22:36:59.440, 12 %, 1660 MiB, 23.54 W
2026/08/12 22:37:00.441, 27 %, 1660 MiB, 23.21 W
2026/08/12 22:37:01.442, 41 %, 1660 MiB, 22.71 W
2026/08/12 22:37:02.443, 43 %, 1656 MiB, 22.79 W
2026/08/12 22:37:03.447, 16 %, 1505 MiB, 23.00 W
2026/08/12 22:37:04.448, 10 %, 1505 MiB, 23.29 W
2026/08/12 22:37:05.449, 44 %, 1505 MiB, 22.69 W
2026/08/12 22:37:06.450, 42 %, 1505 MiB, 22.50 W
2026/08/12 22:37:07.451, 41 %, 1504 MiB, 22.48 W
2026/08/12 22:37:08.452, 41 %, 1500 MiB, 22.38 W
2026/08/12 22:37:09.453, 40 %, 1497 MiB, 22.49 W
2026/08/12 22:37:10.454, 40 %, 1497 MiB, 22.45 W
2026/08/12 22:37:11.457, 40 %, 1497 MiB, 22.30 W
2026/08/12 22:37:12.457, 32 %, 1497 MiB, 22.24 W
2026/08/12 22:37:13.458, 33 %, 1497 MiB, 22.07 W
2026/08/12 22:37:14.459, 34 %, 1497 MiB, 22.10 W
2026/08/12 22:37:15.461, 44 %, 1498 MiB, 22.31 W
2026/08/12 22:37:16.463, 42 %, 1490 MiB, 22.61 W
2026/08/12 22:37:17.464, 42 %, 1492 MiB, 22.59 W
2026/08/12 22:37:18.465, 42 %, 1492 MiB, 22.66 W
2026/08/12 22:37:19.467, 9 %, 1492 MiB, 22.98 W
2026/08/12 22:37:20.472, 11 %, 1495 MiB, 22.87 W
2026/08/12 22:37:21.474, 30 %, 1495 MiB, 22.40 W
2026/08/12 22:37:22.475, 27 %, 1495 MiB, 22.12 W
2026/08/12 22:37:23.479, 32 %, 1495 MiB, 22.24 W
2026/08/12 22:37:24.481, 32 %, 1495 MiB, 22.21 W
2026/08/12 22:37:25.485, 24 %, 1490 MiB, 22.14 W
2026/08/12 22:37:26.487, 21 %, 1490 MiB, 22.08 W
2026/08/12 22:37:27.488, 24 %, 1490 MiB, 22.06 W
2026/08/12 22:37:28.489, 39 %, 1490 MiB, 22.08 W
2026/08/12 22:37:29.493, 29 %, 1490 MiB, 22.24 W
2026/08/12 22:37:30.497, 29 %, 1490 MiB, 22.23 W
2026/08/12 22:37:31.497, 22 %, 1490 MiB, 22.00 W
2026/08/12 22:37:32.500, 29 %, 1490 MiB, 22.11 W
2026/08/12 22:37:33.506, 26 %, 1490 MiB, 22.18 W
2026/08/12 22:37:34.507, 35 %, 1494 MiB, 22.31 W
2026/08/12 22:37:35.510, 30 %, 1498 MiB, 22.28 W
2026/08/12 22:37:36.510, 30 %, 1498 MiB, 22.12 W
2026/08/12 22:37:37.516, 40 %, 1498 MiB, 22.59 W
2026/08/12 22:37:38.517, 40 %, 1498 MiB, 22.73 W
2026/08/12 22:37:39.518, 42 %, 1495 MiB, 22.74 W
2026/08/12 22:37:40.518, 11 %, 1491 MiB, 23.18 W
2026/08/12 22:37:41.521, 40 %, 1491 MiB, 23.09 W
2026/08/12 22:37:42.523, 42 %, 1491 MiB, 22.55 W
2026/08/12 22:37:43.525, 42 %, 1490 MiB, 22.65 W
2026/08/12 22:37:44.526, 40 %, 1490 MiB, 22.55 W
